weather_severity,rain_intensity,visibility,wind_severity,night_indicator,road_disruption,historical_incident_density,distance_to_emergency_service,nearby_service_density,tourist_area_indicator,area_activity_level,route_condition,time_of_day,risk_score
30.02,0.0,4.71,20.36,1.0,88.85,1.938,7.5,5.38,0.0,3.84,69.86,2.0,57.9
42.88,24.0,4.92,16.72,1.0,13.83,1.231,14.27,4.54,0.0,6.41,66.83,2.0,57.7
13.0,2.98,9.6,7.02,1.0,3.09,0.334,5.44,7.22,1.0,8.97,43.53,2.0,35.5
50.97,0.0,12.51,19.55,0.0,45.4,1.327,7.6,5.77,1.0,3.5,15.18,4.0,37.8
13.34,0.0,8.52,10.75,0.0,1.16,0.427,6.37,5.72,0.0,4.5,51.63,4.0,22.1
29.1,0.0,5.57,11.89,0.0,5.46,1.226,12.36,4.97,0.0,4.37,52.59,4.0,34.0
35.37,0.0,7.88,11.84,0.0,13.46,1.968,3.98,5.68,0.0,5.6,87.3,8.0,25.6
15.83,0.0,9.93,6.8,1.0,71.07,0.704,12.39,4.09,0.0,3.64,79.95,2.0,37.0
27.81,0.0,10.23,12.33,0.0,18.72,0.388,4.06,4.08,0.0,1.99,84.18,4.0,10.9
18.25,0.0,10.32,16.54,0.0,6.92,1.845,7.59,9.92,0.0,4.24,67.86,2.0,14.9
37.98,3.75,8.56,18.63,0.0,61.51,0.514,7.47,4.96,0.0,7.45,31.86,4.0,27.2
14.99,1.51,8.56,6.88,0.0,17.01,0.817,13.91,6.75,1.0,2.74,58.55,2.0,21.9
5.51,0.0,10.31,5.5,0.0,7.19,0.596,16.97,4.4,1.0,4.64,99.82,8.0,17.5
42.92,0.0,5.34,20.76,0.0,86.02,1.271,3.89,8.1,1.0,6.75,39.23,8.0,46.7
14.54,1.86,4.32,5.83,0.0,4.35,2.641,5.52,5.9,0.0,3.79,79.38,4.0,32.1
16.03,9.55,11.56,23.16,0.0,78.7,0.8,16.11,4.78,0.0,2.69,57.94,4.0,33.3
29.05,0.0,8.03,17.99,0.0,3.85,1.666,5.12,0.97,1.0,5.58,63.21,2.0,24.6
29.56,2.41,8.89,52.0,0.0,3.68,0.649,2.01,3.77,0.0,5.63,65.71,8.0,26.4
18.42,0.0,2.84,13.94,0.0,14.84,1.11,19.08,6.84,1.0,7.48,84.46,2.0,29.3
27.43,0.0,11.27,15.38,0.0,12.79,0.316,11.43,0.28,0.0,6.72,38.93,4.0,29.5
21.05,0.0,10.68,8.86,1.0,69.38,1.303,6.2,3.16,1.0,8.26,63.2,2.0,48.1
10.68,2.72,5.22,4.02,0.0,0.34,0.806,3.69,0.0,0.0,2.24,32.25,4.0,32.2
26.75,0.0,7.56,26.8,1.0,9.46,1.834,3.02,0.11,0.0,6.07,63.39,2.0,44.3
19.74,0.0,8.94,16.81,0.0,11.34,0.61,3.12,5.63,0.0,6.35,79.39,2.0,10.1
1.21,0.0,6.44,6.59,0.0,13.43,0.13,10.47,2.24,0.0,3.99,81.29,4.0,14.9
43.46,0.0,8.67,22.53,0.0,6.06,0.805,14.3,5.72,1.0,9.47,76.43,8.0,29.5
36.67,6.56,9.2,28.97,0.0,11.24,0.34,2.14,7.46,0.0,3.73,64.95,2.0,17.0
37.07,0.0,8.54,20.04,0.0,12.11,0.792,4.3,4.41,0.0,7.12,78.2,2.0,23.7
15.99,0.0,5.39,19.2,0.0,61.26,1.392,1.61,4.97,0.0,6.19,92.97,8.0,36.5
79.29,28.96,1.07,23.1,0.0,19.82,1.519,5.14,3.63,0.0,4.65,76.51,2.0,57.4
56.9,0.0,7.05,22.08,1.0,18.9,0.932,4.97,5.64,1.0,5.01,25.73,2.0,52.9
48.93,0.0,7.03,41.06,0.0,81.98,1.008,7.29,5.02,0.0,3.85,63.99,2.0,39.4
25.96,0.0,7.76,30.74,1.0,11.87,1.218,0.77,2.27,1.0,5.66,88.01,2.0,34.1
36.15,0.0,7.39,12.76,1.0,51.25,0.757,5.6,3.99,0.0,8.62,65.5,2.0,35.8
47.48,11.74,2.56,14.83,1.0,16.78,1.398,8.6,7.94,0.0,7.16,54.69,2.0,64.0
32.56,0.0,9.63,11.08,1.0,1.81,0.537,7.29,7.95,1.0,9.0,92.2,2.0,36.7
8.64,0.0,10.0,18.84,0.0,3.49,1.038,10.08,5.3,1.0,7.65,67.44,4.0,15.6
16.82,0.0,9.54,4.68,1.0,36.9,0.812,7.98,0.0,0.0,4.01,41.93,2.0,34.0
44.86,0.0,8.51,19.87,0.0,4.9,0.647,1.0,6.98,0.0,6.47,69.2,4.0,17.4
24.82,6.02,6.96,26.24,0.0,19.73,0.637,15.06,2.11,1.0,5.15,83.41,8.0,29.4
19.59,3.6,6.77,9.09,0.0,16.71,0.569,13.39,3.76,1.0,10.0,67.94,8.0,23.8
26.74,6.98,5.32,13.4,0.0,16.59,1.644,3.53,5.11,1.0,3.95,56.25,4.0,31.0
5.33,0.0,11.93,2.52,1.0,3.35,1.377,5.53,8.34,1.0,4.86,80.42,2.0,31.1
35.88,1.46,7.71,14.71,1.0,4.0,0.668,2.74,4.46,1.0,8.26,81.31,2.0,35.1
28.51,2.84,4.48,35.72,0.0,16.23,0.743,8.77,6.39,0.0,4.39,50.63,4.0,27.1
6.83,0.0,8.74,10.76,0.0,8.47,1.329,9.13,1.24,1.0,9.44,62.34,4.0,25.3
16.76,0.0,4.33,9.52,1.0,14.9,0.725,12.88,5.54,0.0,7.47,53.32,2.0,40.3
8.8,0.0,9.23,9.82,0.0,12.51,0.869,5.74,7.25,1.0,2.1,71.59,2.0,9.3
34.8,5.41,7.59,22.85,1.0,48.11,0.856,7.66,4.14,0.0,3.31,93.03,2.0,34.2
20.25,9.42,6.18,12.37,0.0,78.75,0.601,2.85,4.68,0.0,3.27,84.25,4.0,32.9
12.37,0.0,6.75,12.7,0.0,13.39,1.759,10.65,8.23,0.0,6.77,68.98,2.0,16.9
58.14,6.31,7.62,18.49,0.0,12.7,0.538,14.78,4.21,1.0,4.21,39.89,4.0,35.2
42.22,0.0,7.57,16.1,0.0,15.96,3.395,11.91,5.98,0.0,0.16,68.37,2.0,44.0
25.37,0.0,4.36,59.44,1.0,9.92,0.752,17.07,3.25,1.0,4.93,64.4,2.0,51.9
27.24,0.0,10.59,42.02,0.0,10.44,0.934,5.59,4.85,0.0,6.08,50.56,4.0,24.3
25.52,0.0,6.35,22.96,0.0,18.82,0.839,2.01,2.68,1.0,10.0,84.91,4.0,31.9
29.19,0.0,5.49,34.35,0.0,15.88,0.644,0.44,1.59,1.0,3.65,84.66,4.0,31.0
17.27,12.24,9.73,13.79,0.0,17.63,0.84,4.74,3.95,1.0,5.23,68.28,4.0,30.2
59.3,0.0,9.34,17.84,0.0,13.48,1.929,5.6,7.61,1.0,7.26,64.59,8.0,31.0
37.53,0.0,7.03,12.67,0.0,7.51,0.934,10.45,5.58,0.0,7.13,51.9,2.0,20.5
21.89,4.75,5.27,27.04,1.0,18.5,0.842,5.12,6.69,1.0,10.0,73.43,2.0,36.7
27.75,0.0,6.35,47.91,1.0,5.04,0.964,2.66,2.53,0.0,5.67,81.96,2.0,42.1
22.77,0.0,7.44,7.61,1.0,6.35,1.964,9.42,9.67,0.0,6.49,79.65,2.0,38.8
13.44,0.0,11.03,4.04,0.0,78.32,0.649,7.99,7.12,0.0,5.14,61.79,2.0,15.0
48.51,0.0,10.13,18.27,0.0,14.29,2.382,12.14,2.84,0.0,7.9,99.76,4.0,38.3
3.74,0.0,9.22,4.81,0.0,11.74,0.633,14.55,3.98,1.0,5.88,75.69,4.0,17.7
14.32,0.0,9.87,17.95,0.0,11.48,1.092,13.86,1.63,1.0,7.01,63.23,4.0,22.4
48.65,0.0,7.12,21.52,1.0,14.03,2.097,8.18,1.37,1.0,2.6,57.45,2.0,56.0
49.13,0.0,5.78,18.95,1.0,16.56,1.586,6.22,5.87,0.0,6.48,48.17,2.0,50.3
24.39,10.04,4.06,18.7,0.0,79.79,0.319,1.11,0.04,1.0,10.0,96.74,4.0,43.2
13.6,5.47,8.58,10.69,1.0,15.26,1.563,10.11,5.28,0.0,6.33,82.43,2.0,32.2
12.83,9.44,9.28,5.37,1.0,10.43,0.88,11.8,3.38,0.0,3.48,92.0,2.0,28.3
25.81,1.6,7.01,19.72,0.0,17.82,1.152,2.75,6.19,0.0,2.17,70.31,8.0,23.0
9.52,0.0,11.09,23.95,0.0,0.8,1.998,1.11,5.25,1.0,10.0,74.85,4.0,20.8
30.84,0.0,7.3,17.5,0.0,4.69,0.705,4.85,1.86,0.0,3.03,53.47,4.0,21.1
37.55,0.0,8.04,17.87,0.0,93.37,2.138,14.8,4.43,0.0,4.33,50.87,2.0,50.2
24.38,0.0,7.83,12.31,1.0,1.12,0.709,5.77,5.28,0.0,2.09,64.28,2.0,30.8
30.75,15.72,8.66,12.95,0.0,13.37,0.498,1.65,5.15,0.0,5.92,49.98,4.0,20.9
39.44,0.0,8.8,20.83,1.0,82.74,1.035,8.37,4.77,1.0,10.0,66.76,2.0,53.1
27.2,0.0,8.07,25.63,0.0,10.52,0.499,3.22,7.7,0.0,5.24,100.0,2.0,19.2
25.02,12.56,6.9,10.08,1.0,16.68,0.528,15.71,7.41,1.0,9.68,44.4,2.0,41.1
64.32,6.45,3.92,22.8,0.0,12.77,1.064,2.71,2.51,0.0,3.17,77.87,4.0,30.2
33.16,0.0,3.54,26.96,0.0,12.91,1.989,6.35,1.9,1.0,6.81,58.71,2.0,39.6
40.22,0.0,6.73,15.09,0.0,64.99,1.398,2.6,2.13,1.0,7.38,65.33,8.0,38.3
32.03,0.0,7.65,13.69,0.0,19.31,0.518,8.85,4.53,1.0,5.4,97.29,4.0,21.2
28.93,0.0,9.19,27.53,0.0,9.88,2.795,6.55,5.44,1.0,5.09,37.71,4.0,34.0
28.26,0.0,7.83,35.35,0.0,50.83,2.128,14.02,8.96,0.0,3.71,41.91,8.0,39.1
38.33,0.0,6.91,10.76,0.0,8.06,0.448,11.99,3.0,0.0,4.49,63.21,4.0,22.0
8.08,0.0,2.86,15.24,0.0,9.01,0.104,5.49,4.98,1.0,5.95,69.18,4.0,21.1
48.8,0.0,8.59,24.23,1.0,14.16,1.554,5.59,4.46,0.0,7.58,56.17,2.0,44.2
25.61,15.24,6.82,25.24,0.0,16.06,2.285,6.46,6.0,0.0,0.69,62.81,4.0,27.3
6.02,0.0,10.45,23.27,0.0,4.68,0.998,8.35,4.84,0.0,5.2,85.79,8.0,18.8
12.11,0.0,8.69,5.86,0.0,19.89,0.951,30.06,3.09,0.0,1.86,46.25,4.0,35.4
12.75,0.0,10.91,4.93,0.0,30.86,0.446,10.78,5.29,0.0,7.03,54.33,2.0,17.6
7.08,0.0,7.69,14.92,0.0,55.52,1.239,5.89,8.76,0.0,3.45,48.67,2.0,27.1
27.02,0.0,8.11,10.84,0.0,2.29,0.863,1.47,4.85,1.0,6.89,90.86,8.0,23.2
32.88,0.0,8.49,19.62,1.0,11.28,0.581,1.25,8.65,1.0,9.65,61.8,2.0,35.0
18.96,0.0,9.75,6.76,1.0,12.73,0.483,1.1,4.75,0.0,1.67,57.96,2.0,22.1
18.86,0.0,9.27,41.69,1.0,77.98,1.685,14.43,7.61,1.0,9.7,53.7,2.0,48.2
10.34,0.0,9.65,8.3,0.0,8.98,0.262,4.28,3.71,1.0,7.99,69.28,2.0,9.6
34.38,0.0,8.51,12.11,0.0,15.68,0.581,15.5,6.07,0.0,4.09,90.72,4.0,12.0
51.01,0.0,7.08,13.58,0.0,12.26,3.307,5.14,7.49,1.0,2.26,76.13,8.0,32.1
18.27,0.0,10.25,16.89,0.0,8.28,0.349,4.0,6.84,1.0,10.0,100.0,2.0,6.6
18.35,0.0,5.1,9.84,0.0,11.47,2.295,11.09,8.91,0.0,4.31,58.98,2.0,26.8
39.66,0.0,6.55,25.75,0.0,4.29,0.505,0.99,10.0,0.0,6.26,85.28,8.0,25.8
27.71,0.0,11.35,21.51,0.0,15.27,0.78,19.56,1.71,0.0,5.31,93.31,8.0,20.1
15.91,0.0,7.18,17.4,0.0,10.84,0.308,2.65,2.46,1.0,10.0,45.86,8.0,22.6
27.13,0.0,8.03,8.22,0.0,55.77,0.485,6.52,1.83,1.0,4.83,36.42,2.0,28.3
8.32,0.0,11.53,15.28,0.0,7.34,0.589,4.84,9.24,1.0,9.1,61.25,8.0,13.7
18.52,0.0,8.19,13.0,0.0,3.82,0.55,11.18,3.66,1.0,10.0,100.0,2.0,14.4
18.94,0.0,6.76,29.68,0.0,9.69,1.179,4.66,4.24,1.0,4.62,71.78,4.0,26.1
32.09,0.0,10.43,14.92,0.0,9.83,0.722,15.59,6.15,1.0,6.59,73.97,2.0,18.2
45.93,0.0,7.04,22.99,0.0,37.31,0.57,13.78,4.91,0.0,5.69,60.05,2.0,26.3
34.19,0.0,7.53,8.98,1.0,50.09,1.09,10.17,5.79,0.0,6.46,71.16,2.0,44.4
24.72,0.0,4.3,37.9,1.0,5.99,0.33,2.37,3.68,0.0,6.14,71.69,2.0,40.5
29.21,0.0,7.87,11.94,0.0,11.85,0.775,1.0,8.18,0.0,7.13,43.62,2.0,18.9
15.54,0.0,9.9,9.25,1.0,10.65,1.442,8.35,2.58,1.0,7.03,27.54,2.0,39.2
35.6,0.0,7.07,27.47,1.0,0.43,0.58,10.05,4.77,1.0,7.8,92.79,2.0,29.1
55.54,26.86,1.55,56.97,1.0,13.34,1.145,6.62,5.58,1.0,4.57,24.72,2.0,62.2
25.57,0.0,7.27,14.72,1.0,8.2,1.139,6.66,6.45,0.0,2.96,59.78,2.0,30.2
36.46,0.0,6.68,57.29,0.0,16.05,0.654,18.29,5.84,1.0,6.81,57.09,4.0,34.6
14.89,0.0,8.05,11.65,0.0,14.51,1.181,2.38,4.31,0.0,4.3,63.68,8.0,22.3
35.77,3.2,6.51,9.73,0.0,15.81,1.269,7.52,3.44,1.0,8.35,66.39,4.0,32.3
42.17,3.43,10.65,14.24,0.0,5.27,0.455,11.48,8.83,0.0,1.28,93.83,8.0,15.0
34.77,0.0,8.56,24.38,0.0,14.93,0.598,19.75,2.13,0.0,5.94,73.8,4.0,22.3
47.54,25.31,1.06,32.96,0.0,38.92,0.565,3.7,6.84,0.0,6.52,87.81,8.0,42.6
41.71,4.54,7.35,21.4,0.0,74.38,1.523,7.37,2.27,0.0,0.57,51.12,4.0,39.8
35.24,3.72,7.42,47.1,0.0,13.04,0.693,5.77,6.01,1.0,10.0,64.9,4.0,28.3
29.8,0.0,10.49,27.16,0.0,2.25,1.698,8.74,7.09,1.0,10.0,48.36,2.0,27.3
29.59,2.92,7.45,14.78,0.0,10.78,0.923,11.99,2.03,0.0,7.21,60.67,4.0,24.7
18.64,0.0,8.07,21.25,0.0,12.8,0.491,8.75,6.48,0.0,4.56,76.04,8.0,15.7
4.74,0.0,12.58,4.14,0.0,18.41,0.294,3.77,3.58,0.0,4.44,30.57,4.0,16.4
40.9,0.0,5.64,20.34,0.0,5.63,1.096,7.38,0.0,1.0,5.83,75.07,4.0,32.4
39.24,0.0,9.42,13.9,0.0,7.22,1.161,7.23,6.76,1.0,6.99,45.5,8.0,25.9
42.01,14.77,6.1,38.16,1.0,16.47,0.734,2.13,2.66,0.0,4.09,54.4,2.0,47.8
0.57,0.0,7.98,5.18,0.0,12.2,1.512,39.85,3.5,0.0,5.68,86.77,4.0,29.6
12.78,10.26,6.09,6.12,0.0,8.91,2.896,4.62,1.74,1.0,7.07,50.51,8.0,35.0
25.28,0.0,10.96,15.71,0.0,14.44,0.453,11.56,3.42,0.0,6.2,52.92,2.0,24.0
24.17,0.96,9.09,9.98,1.0,0.6,0.799,0.8,8.09,0.0,4.24,83.59,2.0,25.5
38.75,5.33,8.4,21.04,0.0,7.73,0.605,5.04,8.9,0.0,2.96,70.88,4.0,16.2
21.21,0.0,10.14,23.13,1.0,8.3,1.329,2.67,3.13,0.0,7.37,39.16,2.0,38.3
12.0,0.0,9.32,21.18,0.0,33.11,0.921,4.34,4.57,1.0,5.0,58.76,4.0,17.6
54.76,0.0,5.24,22.45,0.0,19.3,0.711,2.28,5.56,0.0,4.65,59.8,2.0,22.8
44.32,0.0,4.53,38.12,0.0,19.57,0.901,10.04,2.65,0.0,4.68,66.78,2.0,33.9
16.65,0.0,11.58,41.26,0.0,11.97,1.044,3.2,6.37,1.0,7.2,70.37,4.0,27.4
46.06,26.18,4.89,16.41,1.0,76.76,1.328,9.68,8.11,0.0,4.75,46.95,2.0,60.2
40.47,2.08,7.7,22.95,0.0,12.99,1.26,3.78,2.28,0.0,4.29,100.0,4.0,23.0
5.57,0.0,12.44,10.5,0.0,18.54,0.423,4.06,7.97,0.0,5.4,60.67,2.0,13.5
17.54,6.95,5.51,17.46,1.0,36.49,0.195,9.43,2.33,0.0,3.13,71.64,2.0,36.4
21.13,5.02,2.72,20.72,0.0,6.46,1.211,2.49,4.33,1.0,6.57,33.77,2.0,33.2
40.86,0.0,4.15,13.54,0.0,36.67,0.49,7.15,10.0,0.0,5.17,53.26,4.0,29.4
26.81,11.86,5.71,14.48,0.0,3.08,0.648,3.53,9.09,1.0,3.44,70.01,2.0,19.6
18.55,3.85,8.22,11.75,1.0,13.46,0.759,7.68,1.98,1.0,9.57,45.05,2.0,43.1
18.07,0.0,11.24,9.89,1.0,4.73,1.387,13.58,6.83,0.0,9.16,61.75,2.0,40.9
34.38,0.0,9.66,14.1,0.0,31.44,1.195,12.35,2.06,0.0,6.23,69.04,2.0,23.8
19.04,10.34,2.06,9.0,0.0,13.95,1.327,2.33,6.13,0.0,4.23,42.86,2.0,33.0
54.51,0.0,12.97,31.58,1.0,0.22,1.74,0.69,4.11,1.0,6.33,57.88,2.0,49.8
48.14,0.0,6.73,29.7,1.0,11.23,0.915,13.52,6.34,1.0,4.92,68.63,2.0,54.2
34.54,23.31,7.62,13.85,0.0,9.05,2.635,13.46,5.71,0.0,8.12,80.31,4.0,42.4
39.62,0.0,8.9,12.48,0.0,18.77,0.518,8.33,5.53,1.0,4.32,78.68,2.0,20.3
32.2,11.95,6.61,20.03,0.0,10.97,1.454,7.69,4.56,0.0,6.87,68.31,4.0,34.9
43.26,0.0,7.23,13.79,0.0,68.27,1.02,0.58,9.93,0.0,4.06,56.76,8.0,30.6
22.38,7.79,5.17,19.52,0.0,15.87,0.831,4.92,3.92,0.0,7.69,92.72,2.0,29.2
67.38,15.56,2.54,37.24,0.0,59.14,1.262,11.14,3.54,0.0,6.33,92.38,2.0,52.9
59.74,0.0,6.88,36.25,0.0,11.09,1.08,1.7,8.45,0.0,6.77,99.75,4.0,22.5
1.94,0.0,6.17,15.56,1.0,91.32,0.711,4.52,2.71,0.0,5.35,60.11,2.0,47.2
13.43,4.79,11.32,11.59,0.0,72.04,0.683,5.34,7.23,0.0,8.32,54.81,8.0,27.4
32.29,0.0,8.23,40.7,0.0,5.84,0.506,13.01,4.3,0.0,1.76,70.6,8.0,27.2
41.59,0.0,11.94,21.49,0.0,17.71,1.143,4.64,3.12,1.0,3.53,47.67,4.0,34.8
13.49,0.0,7.72,27.45,0.0,8.35,0.642,11.68,7.51,0.0,1.92,57.45,8.0,18.8
44.29,3.69,6.05,23.72,0.0,19.88,1.721,12.71,5.67,1.0,6.07,61.64,4.0,40.4
18.16,0.0,9.64,14.46,0.0,18.71,1.829,6.51,5.15,0.0,3.56,73.37,8.0,25.2
30.53,0.0,7.57,20.46,0.0,10.73,1.374,17.53,5.41,1.0,5.92,82.18,2.0,19.9
29.7,5.24,9.43,25.67,0.0,15.69,1.733,5.44,6.52,0.0,8.31,93.46,8.0,30.0
15.2,0.0,11.42,10.01,0.0,15.99,1.591,10.67,1.81,0.0,3.77,97.45,4.0,14.3
33.0,5.66,9.53,27.13,0.0,7.12,0.956,9.46,7.4,1.0,8.84,62.34,4.0,30.6
18.16,14.17,9.48,37.95,1.0,9.23,0.895,5.35,1.21,1.0,7.16,71.6,2.0,40.8
11.75,0.0,10.28,16.93,0.0,18.06,0.397,12.51,2.59,1.0,9.19,90.18,2.0,14.6
3.92,0.0,7.78,31.13,0.0,10.16,0.758,18.38,6.65,1.0,7.75,71.6,8.0,21.7
40.91,4.27,9.54,26.01,0.0,6.02,2.207,4.27,7.25,0.0,5.72,49.33,4.0,34.2
31.99,3.4,9.03,13.04,1.0,2.56,1.772,21.0,3.82,1.0,6.44,87.73,2.0,47.6
30.51,7.16,5.99,12.56,1.0,68.3,1.4,4.29,6.86,1.0,5.16,50.18,2.0,57.7
12.93,0.54,7.57,5.62,1.0,9.0,0.902,9.57,4.27,1.0,3.84,43.6,2.0,32.5
21.07,4.47,7.65,17.47,0.0,9.87,1.172,7.02,1.38,1.0,8.24,54.07,2.0,23.5
32.72,0.0,10.24,9.3,1.0,93.04,0.482,2.1,3.6,0.0,8.76,64.89,2.0,45.3
18.91,9.54,7.52,10.44,0.0,19.56,2.379,7.34,1.93,1.0,5.91,71.27,8.0,35.3
53.16,6.85,6.57,28.62,0.0,7.79,1.806,7.69,4.98,0.0,4.96,60.08,8.0,37.4
39.42,0.0,7.5,13.78,0.0,16.2,0.729,12.83,5.6,1.0,4.94,100.0,4.0,15.6
27.09,0.0,7.48,11.42,1.0,12.6,0.559,5.96,5.94,0.0,4.74,47.16,2.0,33.7
32.31,0.0,5.7,36.67,0.0,17.0,0.661,9.78,2.05,0.0,4.32,56.65,2.0,31.9
45.13,0.0,9.24,26.99,0.0,8.51,1.187,4.06,5.95,1.0,5.65,63.63,8.0,25.5
56.85,0.58,5.19,24.93,0.0,9.29,1.358,3.66,6.24,0.0,2.97,44.21,4.0,34.0
53.58,6.42,6.76,19.29,1.0,6.04,0.524,6.45,7.94,0.0,7.03,62.4,2.0,45.6
11.37,9.94,6.65,9.05,0.0,14.01,0.259,5.25,3.76,0.0,7.04,39.4,4.0,18.2
15.74,4.6,9.51,25.42,0.0,5.6,0.856,5.32,2.64,1.0,9.82,80.53,4.0,23.0
10.97,0.0,7.99,18.78,1.0,8.19,0.803,6.14,3.22,1.0,8.68,72.72,2.0,26.8
39.59,0.0,5.8,17.83,0.0,10.32,1.449,3.14,5.42,1.0,5.21,72.06,4.0,23.4
48.82,0.0,9.51,14.13,0.0,16.42,1.881,13.14,4.92,1.0,5.75,90.67,8.0,40.9
18.73,0.0,6.79,5.83,0.0,41.37,0.428,18.64,4.59,1.0,7.68,63.1,2.0,24.4
21.37,0.0,8.67,11.41,1.0,10.74,0.887,8.64,3.73,0.0,3.41,38.91,2.0,36.1
18.19,0.0,11.0,19.29,0.0,1.54,0.471,0.51,6.31,1.0,9.99,62.6,2.0,9.2
11.8,0.0,7.19,16.33,0.0,1.37,1.369,14.74,6.18,0.0,4.96,83.76,8.0,19.3
66.67,6.32,6.03,28.72,0.0,7.16,0.941,1.76,4.39,0.0,3.19,54.35,4.0,35.8
25.3,19.36,5.06,7.94,0.0,92.63,0.877,2.63,10.0,1.0,8.3,58.59,2.0,44.0
38.61,0.0,8.1,27.85,1.0,4.5,0.57,10.36,2.06,0.0,6.58,55.34,2.0,41.3
63.6,0.0,6.96,26.75,1.0,19.02,1.212,8.06,3.83,0.0,5.89,51.95,2.0,48.5
58.88,0.0,9.07,17.9,0.0,77.23,0.996,15.72,2.77,1.0,8.69,59.38,4.0,49.0
9.25,0.0,7.48,21.88,0.0,15.99,2.12,2.82,3.31,0.0,5.77,86.42,4.0,23.6
24.85,0.0,10.8,8.93,0.0,13.18,0.393,16.66,4.45,1.0,10.0,57.77,2.0,16.0
33.72,0.0,11.2,20.44,0.0,2.51,0.729,2.31,5.69,0.0,7.12,92.83,8.0,16.5
54.34,0.0,7.88,17.96,0.0,4.08,0.944,4.66,5.05,1.0,5.7,66.73,4.0,20.4
29.41,0.0,6.54,14.09,0.0,0.6,0.675,7.02,10.0,0.0,3.62,61.43,8.0,14.0
11.44,4.15,8.08,16.04,0.0,0.6,0.491,8.93,1.41,0.0,4.76,53.7,8.0,20.1
23.87,0.0,8.03,15.55,1.0,17.75,0.855,14.15,4.2,0.0,4.97,68.7,2.0,32.0
1.98,0.0,12.49,8.69,0.0,62.26,0.675,10.62,6.39,0.0,3.64,61.38,2.0,21.6
34.82,0.0,7.75,12.16,0.0,18.58,0.528,3.26,0.0,0.0,3.02,60.0,4.0,25.9
39.93,4.03,10.08,14.03,1.0,7.1,1.562,12.16,6.59,0.0,4.55,50.73,2.0,29.9
26.49,13.95,6.75,10.94,0.0,62.58,1.328,5.35,8.08,0.0,3.67,21.03,2.0,40.6
47.69,2.21,7.4,32.99,0.0,15.28,1.879,0.86,4.25,1.0,7.11,61.82,8.0,36.1
13.09,0.0,7.9,43.78,0.0,5.7,0.717,7.63,3.47,0.0,0.41,68.63,2.0,17.2
37.02,0.0,7.37,12.77,1.0,3.89,0.329,9.41,3.89,1.0,9.17,95.13,2.0,38.6
19.32,0.0,10.2,34.88,0.0,9.19,1.364,8.94,5.73,0.0,4.33,68.98,2.0,15.5
18.55,7.27,6.11,7.63,0.0,1.61,0.976,9.17,5.31,0.0,5.63,89.05,2.0,19.4
17.54,2.16,10.13,16.44,0.0,49.15,0.955,6.83,6.32,1.0,2.22,51.27,2.0,27.0
36.81,0.0,10.78,12.04,0.0,10.08,2.267,2.92,3.15,0.0,5.16,51.29,4.0,30.2
30.35,0.0,6.91,30.42,0.0,12.58,1.149,13.62,7.0,1.0,6.71,11.97,4.0,39.8
28.33,1.68,10.36,25.29,0.0,12.2,0.522,7.56,4.72,0.0,4.88,62.29,2.0,15.6
40.36,2.75,9.56,31.85,0.0,0.5,1.066,6.68,10.0,0.0,5.38,88.5,4.0,17.9
24.0,16.7,8.01,11.5,1.0,1.74,0.926,9.02,2.78,0.0,3.87,31.22,2.0,41.3
24.58,4.45,6.46,9.78,0.0,3.71,2.743,5.98,8.1,1.0,7.75,67.61,4.0,37.9
55.11,2.27,6.84,34.81,0.0,6.68,1.517,11.71,3.43,0.0,0.0,81.25,2.0,32.2
12.33,0.0,8.39,10.91,0.0,14.57,0.72,16.78,2.22,1.0,7.54,46.15,2.0,23.9
15.21,0.0,12.73,11.72,0.0,89.85,2.076,1.95,4.95,1.0,7.36,66.08,8.0,46.4
53.64,2.18,7.11,18.82,0.0,3.75,3.274,1.31,2.4,0.0,8.08,55.99,4.0,45.3
43.68,0.0,7.32,18.19,0.0,58.34,0.874,3.89,5.79,0.0,5.56,90.82,4.0,25.8
21.04,0.0,6.07,26.39,0.0,76.08,0.361,2.52,7.17,0.0,0.37,37.01,8.0,30.9
17.77,0.0,6.52,9.3,1.0,91.24,0.593,7.88,3.94,0.0,4.06,72.98,2.0,48.6
18.53,0.0,7.08,9.37,0.0,2.06,0.434,19.75,3.17,0.0,4.08,30.88,8.0,22.0
45.64,15.7,6.47,15.15,1.0,5.94,1.044,20.29,7.15,1.0,6.8,84.99,2.0,51.3
23.38,0.0,5.45,13.03,0.0,78.76,0.976,4.48,2.74,0.0,4.31,54.18,4.0,41.9
14.23,0.0,7.24,26.09,1.0,19.16,0.497,2.87,1.58,1.0,7.14,74.48,2.0,37.7
43.06,11.25,2.64,14.44,0.0,11.12,1.609,4.63,6.96,0.0,3.09,39.29,2.0,36.7
11.66,7.05,10.61,7.35,1.0,2.66,1.848,10.22,5.41,1.0,10.0,61.25,2.0,38.8
22.35,0.0,8.54,35.73,0.0,14.98,2.346,2.95,4.89,0.0,4.76,81.11,4.0,28.2
48.73,4.92,7.57,16.51,1.0,18.58,2.067,1.58,2.95,1.0,10.0,65.41,2.0,53.2
33.18,0.0,5.82,17.21,0.0,0.72,1.313,4.57,6.45,1.0,4.3,56.85,4.0,36.8
67.98,7.52,8.38,51.79,0.0,10.45,1.15,6.56,6.66,1.0,6.15,94.01,8.0,29.6
25.16,0.0,11.25,13.66,0.0,8.09,0.828,6.7,0.7,1.0,8.48,69.42,2.0,25.4
